Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	 Status
0	2019-06-03	10:24:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.80	vol-%	wet	0.0029	369.45	ppm	dry	0.0024	  1.81	ppm	dry	0.0018	  0.26	ppm	dry	0.0018	OK
0	2019-06-03	10:25:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.84	vol-%	wet	0.0029	369.33	ppm	dry	0.0024	  1.87	ppm	dry	0.0018	  0.27	ppm	dry	0.0019	OK
0	2019-06-03	10:25:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.87	vol-%	wet	0.0029	369.80	ppm	dry	0.0024	  1.93	ppm	dry	0.0015	  0.26	ppm	dry	0.0019	OK
0	2019-06-03	10:25:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.90	vol-%	wet	0.0030	371.71	ppm	dry	0.0024	  1.95	ppm	dry	0.0017	  0.25	ppm	dry	0.0019	OK
0	2019-06-03	10:25:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.91	vol-%	wet	0.0032	372.06	ppm	dry	0.0024	  1.80	ppm	dry	0.0020	  0.25	ppm	dry	0.0019	OK
0	2019-06-03	10:25:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.94	vol-%	wet	0.0033	373.31	ppm	dry	0.0025	  1.86	ppm	dry	0.0019	  0.25	ppm	dry	0.0019	OK
0	2019-06-03	10:25:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.96	vol-%	wet	0.0033	376.57	ppm	dry	0.0024	  1.93	ppm	dry	0.0018	  0.24	ppm	dry	0.0020	OK
0	2019-06-03	10:25:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.97	vol-%	wet	0.0036	376.87	ppm	dry	0.0026	  1.89	ppm	dry	0.0018	  0.25	ppm	dry	0.0019	OK
0	2019-06-03	10:25:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.00	vol-%	wet	0.0034	378.57	ppm	dry	0.0025	  1.90	ppm	dry	0.0020	  0.25	ppm	dry	0.0020	OK
0	2019-06-03	10:25:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.02	vol-%	wet	0.0035	377.92	ppm	dry	0.0025	  1.83	ppm	dry	0.0020	  0.25	ppm	dry	0.0020	OK
0	2019-06-03	10:25:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.03	vol-%	wet	0.0033	380.44	ppm	dry	0.0025	  1.89	ppm	dry	0.0018	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:26:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.05	vol-%	wet	0.0035	383.76	ppm	dry	0.0025	  1.88	ppm	dry	0.0021	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:26:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.07	vol-%	wet	0.0035	384.37	ppm	dry	0.0025	  1.86	ppm	dry	0.0018	  0.24	ppm	dry	0.0021	OK
0	2019-06-03	10:26:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.09	vol-%	wet	0.0035	386.13	ppm	dry	0.0024	  1.92	ppm	dry	0.0019	  0.24	ppm	dry	0.0021	OK
0	2019-06-03	10:26:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.10	vol-%	wet	0.0037	388.13	ppm	dry	0.0024	  1.79	ppm	dry	0.0021	  0.25	ppm	dry	0.0022	OK
0	2019-06-03	10:26:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.13	vol-%	wet	0.0037	387.95	ppm	dry	0.0026	  1.92	ppm	dry	0.0021	  0.24	ppm	dry	0.0021	OK
0	2019-06-03	10:26:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.14	vol-%	wet	0.0035	390.52	ppm	dry	0.0024	  1.88	ppm	dry	0.0020	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:26:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.15	vol-%	wet	0.0036	390.43	ppm	dry	0.0026	  1.86	ppm	dry	0.0018	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:26:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.16	vol-%	wet	0.0037	392.09	ppm	dry	0.0024	  1.88	ppm	dry	0.0021	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:26:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.17	vol-%	wet	0.0037	394.00	ppm	dry	0.0025	  1.88	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:26:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.18	vol-%	wet	0.0034	397.68	ppm	dry	0.0025	  1.86	ppm	dry	0.0019	  0.25	ppm	dry	0.0022	OK
0	2019-06-03	10:27:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.19	vol-%	wet	0.0037	396.93	ppm	dry	0.0025	  1.83	ppm	dry	0.0019	  0.25	ppm	dry	0.0022	OK
0	2019-06-03	10:27:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.19	vol-%	wet	0.0038	400.82	ppm	dry	0.0025	  1.89	ppm	dry	0.0019	  0.24	ppm	dry	0.0021	OK
0	2019-06-03	10:27:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.21	vol-%	wet	0.0037	401.00	ppm	dry	0.0026	  1.91	ppm	dry	0.0018	  0.24	ppm	dry	0.0021	OK
0	2019-06-03	10:27:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.22	vol-%	wet	0.0035	403.08	ppm	dry	0.0025	  1.88	ppm	dry	0.0019	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:27:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.23	vol-%	wet	0.0037	404.37	ppm	dry	0.0025	  1.87	ppm	dry	0.0019	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:27:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.24	vol-%	wet	0.0035	404.78	ppm	dry	0.0024	  1.91	ppm	dry	0.0019	  0.25	ppm	dry	0.0022	OK
0	2019-06-03	10:27:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.24	vol-%	wet	0.0038	405.01	ppm	dry	0.0026	  1.85	ppm	dry	0.0023	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:27:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.25	vol-%	wet	0.0036	407.05	ppm	dry	0.0025	  1.85	ppm	dry	0.0020	  0.26	ppm	dry	0.0023	OK
0	2019-06-03	10:27:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.26	vol-%	wet	0.0038	408.51	ppm	dry	0.0024	  1.84	ppm	dry	0.0020	  0.25	ppm	dry	0.0021	OK
0	2019-06-03	10:27:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.27	vol-%	wet	0.0038	409.57	ppm	dry	0.0025	  1.85	ppm	dry	0.0019	  0.26	ppm	dry	0.0022	OK
0	2019-06-03	10:28:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.28	vol-%	wet	0.0036	411.00	ppm	dry	0.0026	  1.88	ppm	dry	0.0020	  0.24	ppm	dry	0.0021	OK
0	2019-06-03	10:28:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.28	vol-%	wet	0.0037	414.90	ppm	dry	0.0025	  1.86	ppm	dry	0.0021	  0.23	ppm	dry	0.0024	OK
0	2019-06-03	10:28:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.29	vol-%	wet	0.0037	413.70	ppm	dry	0.0025	  1.85	ppm	dry	0.0019	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:28:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.28	vol-%	wet	0.0038	416.03	ppm	dry	0.0025	  1.90	ppm	dry	0.0020	  0.25	ppm	dry	0.0023	OK
0	2019-06-03	10:28:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.29	vol-%	wet	0.0040	417.91	ppm	dry	0.0026	  1.91	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:28:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.30	vol-%	wet	0.0039	418.07	ppm	dry	0.0025	  1.93	ppm	dry	0.0023	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:28:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.31	vol-%	wet	0.0039	420.74	ppm	dry	0.0024	  1.79	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
